year,month,state,handgun_unadjusted,long_gun_unadjusted,total_unadjusted,handgun_adjusted,long_gun_adjusted,total_adjusted
2000,03,California,27952,26560,54512,24446,27081,51528
2000,03,Colorado,14708,17161,31869,12419,17434,29853
2000,03,Connecticut,0,0,0,0,0,0
2000,03,Delaware,613,779,1392,507,913,1420
2000,03,District of Columbia,2,0,2,1,0,1
2000,03,Florida,12814,9858,22672,11757,10951,22709
2000,03,Georgia,9532,9906,19437,8456,11712,20168
2000,03,Guam,13,12,25,13,13,26
2000,03,Hawaii,0,0,0,,,
2000,03,Idaho,2140,4091,6230,1889,4339,6227
2000,03,Illinois,7481,8576,16057,6075,8177,14252
2000,03,Indiana,2879,13736,16614,2166,15692,17858
2000,03,Iowa,61,3134,3194,58,3328,3385
2000,03,Kansas,3975,5380,9356,3062,6123,9185
2000,03,Kentucky,9564,12183,21747,8447,13073,21519
2000,03,Louisiana,6995,6806,13801,5794,10512,16306
2000,03,Maine,1598,2314,3913,1297,2872,4168
2000,03,Mariana Islands,0,0,0,,,
2000,03,Maryland,176,3695,3871,164,4177,4341
2000,03,Massachusetts,1856,978,2834,1401,852,2254
2000,03,Michigan,108,13358,13466,81,14387,14468
2000,03,Minnesota,4192,10361,14553,3020,10923,13943
2000,03,Mississippi,6392,7376,13768,5434,9994,15428
2000,03,Missouri,4661,13548,18208,3711,14005,17716
2000,03,Montana,2277,4470,6747,1922,4709,6631
2000,03,Nebraska,47,1848,1895,45,2503,2548
2000,03,Nevada,2676,2351,5027,2299,2165,4464
2000,03,New Hampshire,1617,2039,3656,1376,2154,3530
2000,03,New Jersey,1931,1737,3667,1534,1695,3229
2000,03,New Mexico,3658,5005,8662,2924,4885,7810
2000,03,New York,1465,8368,9833,1229,9396,10625
2000,03,North Carolina,1657,12717,14374,1611,15336,16946
2000,03,North Dakota,736,1962,2698,569,2400,2969
2000,03,Ohio,12838,15041,27880,10136,15525,25661
2000,03,Oklahoma,5636,8622,14258,4923,9851,14774
2000,03,Oregon,6111,7785,13895,5087,7561,12648
2000,03,Pennsylvania,814,52890,53704,698,45227,45925
2000,03,Puerto Rico,605,85,690,620,97,717
2000,03,Rhode Island,646,522,1168,536,496,1032
2000,03,South Carolina,5367,5809,11176,4680,6801,11480
2000,03,South Dakota,681,2087,2768,522,2467,2989
2000,03,Tennessee,11757,10506,22263,9978,11544,21522
2000,03,Texas,22163,28530,50692,19273,37211,56484
2000,03,United States,250958,415462,666421,220370,446306,666675
2000,03,Utah,2390,3795,6185,2213,4132,6345
2000,03,Vermont,791,1385,2176,626,1281,1907
2000,03,Virgin Islands,0,0,0,,,
2000,03,Virginia,9127,10767,19894,7579,12032,19611
2000,03,Washington,4166,7132,11298,3470,7265,10735
2000,03,West Virginia,4716,7428,12144,3754,8265,12019
2000,03,Wisconsin,4944,13349,18293,3945,11534,15479
2000,03,Wyoming,1120,1890,3010,963,2136,3098
2000,04,Alabama,7272,7247,14519,8144,13213,21356
2000,04,Alaska,1454,2410,3864,1309,2379,3688
2000,04,Arizona,6690,5214,11904,6574,6274,12848
2000,04,Arkansas,4200,7239,11439,4684,12127,16811
2000,04,California,26809,25259,52068,25033,27741,52774
2000,04,Colorado,12156,13054,25210,12484,16716,29199
2000,04,Connecticut,6,1,7,0,0,0
2000,04,Delaware,524,707,1231,502,993,1495
2000,04,District of Columbia,3,0,3,2,0,2
2000,04,Florida,11535,8138,19672,11936,11488,23424
2000,04,Georgia,7531,6815,14345,8818,12426,21244
2000,04,Guam,10,7,16,9,6,15
2000,04,Hawaii,0,0,0,,,
2000,04,Idaho,1958,3766,5724,1932,4444,6376
2000,04,Illinois,6086,6729,12815,6163,8356,14519
2000,04,Indiana,2005,8433,10438,2102,12763,14865
2000,04,Iowa,38,2476,2515,46,3715,3761
2000,04,Kansas,2566,4059,6625,2934,6258,9192
2000,04,Kentucky,7739,10625,18363,8743,13694,22437
2000,04,Louisiana,5589,5344,10933,6320,11337,17656
2000,04,Maine,1177,2147,3324,1080,2904,3983
2000,04,Mariana Islands,0,0,0,,,
2000,04,Maryland,121,3461,3582,115,4461,4576
2000,04,Massachusetts,1822,960,2782,1787,1059,2846
2000,04,Michigan,120,12458,12577,98,16186,16284
2000,04,Minnesota,3319,9885,13203,2957,11184,14141
2000,04,Mississippi,4966,5245,10211,5630,10562,16192
2000,04,Missouri,3665,12134,15799,3770,14589,18359
2000,04,Montana,2059,4381,6440,1939,4659,6598
2000,04,Nebraska,41,1535,1575,44,2565,2610
2000,04,Nevada,2361,2115,4476,2504,2403,4906
2000,04,New Hampshire,1261,2126,3387,1264,2189,3453
2000,04,New Jersey,1748,1569,3316,1581,1882,3463
2000,04,New Mexico,2687,4332,7019,2906,5118,8024
2000,04,New York,942,8410,9351,836,9574,10410
2000,04,North Carolina,1358,10408,11767,1699,15914,17614
2000,04,North Dakota,614,1838,2452,532,2398,2930
2000,04,Ohio,10743,13076,23818,9924,16300,26224
2000,04,Oklahoma,5311,7621,12932,5133,9944,15077
2000,04,Oregon,4939,7333,12272,4779,7643,12422
2000,04,Pennsylvania,1143,42702,43845,951,44783,45734
2000,04,Puerto Rico,380,82,462,435,104,539
2000,04,Rhode Island,529,431,960,529,478,1008
2000,04,South Carolina,3955,3915,7869,4379,6994,11373
2000,04,South Dakota,608,1940,2549,553,2684,3238
2000,04,Tennessee,8579,7458,16037,10169,11773,21943
2000,04,Texas,17350,23608,40958,18906,37507,56414
2000,04,United States,207197,347333,554530,218607,452306,670914
2000,04,Utah,1878,2996,4874,1788,4023,5811
2000,04,Vermont,651,1241,1892,614,1246,1859
2000,04,Virgin Islands,0,0,0,,,
2000,04,Virginia,6940,7897,14837,7371,10750,18121
2000,04,Washington,3282,6095,9378,3320,7119,10439
2000,04,West Virginia,3485,6878,10363,3764,8480,12244
2000,04,Wisconsin,4084,11810,15894,3962,11993,15955
2000,04,Wyoming,910,1725,2634,922,2086,3008
2000,05,Alabama,6481,6766,13247,7581,13139,20720
2000,05,Alaska,1159,2295,3454,1236,2553,3789
2000,05,Arizona,5882,4699,10581,6180,6083,12263
2000,05,Arkansas,3840,6116,9956,4443,11767,16210
2000,05,California,26001,23679,49679,25598,26287,51885
2000,05,Colorado,9314,11018,20331,10150,15420,25570
2000,05,Connecticut,0,0,0,0,0,0
2000,05,Delaware,453,519,972,465,819,1284
2000,05,District of Columbia,2,0,2,1,0,1
2000,05,Florida,10918,7719,18636,11685,11485,23170
2000,05,Georgia,6652,5713,12365,7948,11004,18952
2000,05,Guam,12,10,22,12,13,24
2000,05,Hawaii,0,0,0,,,
2000,05,Idaho,1826,3306,5132,1874,4293,6166
2000,05,Illinois,5246,5794,11040,5874,8723,14597
2000,05,Indiana,1945,2973,4918,2160,5822,7982
2000,05,Iowa,36,1667,1703,56,3847,3903
2000,05,Kansas,2570,3642,6212,3115,6517,9632
2000,05,Kentucky,6920,7624,14544,8129,13459,21588
2000,05,Louisiana,4957,5215,10172,5725,10903,16628
2000,05,Maine,1065,1663,2728,1195,2863,4058
2000,05,Mariana Islands,1,1,2,,,
2000,05,Maryland,172,2544,2716,173,4302,4476
2000,05,Massachusetts,1064,696,1760,1109,960,2068
2000,05,Michigan,84,9462,9546,85,15979,16064
2000,05,Minnesota,2565,6241,8807,2849,11074,13923
2000,05,Mississippi,4677,4749,9426,5494,10343,15837
2000,05,Missouri,3032,8689,11721,3381,14495,17876
2000,05,Montana,1855,4000,5854,1862,4757,6618
2000,05,Nebraska,31,1354,1385,39,2642,2681
2000,05,Nevada,2335,1972,4308,2383,2412,4795
2000,05,New Hampshire,1112,1598,2710,1268,2160,3428
2000,05,New Jersey,1421,1648,3069,1330,2021,3351
2000,05,New Mexico,2785,3689,6475,2932,4949,7881
2000,05,New York,818,5671,6489,768,8757,9525
2000,05,North Carolina,1425,8490,9914,1624,15407,17032
2000,05,North Dakota,471,1392,1862,487,2178,2664
2000,05,Ohio,7828,9485,17313,8781,15782,24563
2000,05,Oklahoma,4266,6258,10524,4951,10222,15173
2000,05,Oregon,4376,5950,10326,4792,7496,12288
2000,05,Pennsylvania,1863,35582,37445,2859,44097,46955
2000,05,Puerto Rico,372,106,477,382,125,506
2000,05,Rhode Island,454,370,824,479,482,962
2000,05,South Carolina,3766,3292,7059,4384,6376,10760
2000,05,South Dakota,491,1617,2108,550,2663,3213
2000,05,Tennessee,8054,6475,14529,9443,11481,20925
2000,05,Texas,16666,22074,38740,18814,37254,56068
2000,05,United States,186090,283234,469324,208735,430105,638840
2000,05,Utah,1739,2724,4463,2084,4173,6257
2000,05,Vermont,538,822,1360,566,1234,1800
2000,05,Virgin Islands,0,0,0,,,
2000,05,Virginia,6188,6441,12628,6938,10046,16984
2000,05,Washington,3077,5469,8546,3245,6958,10203
2000,05,West Virginia,3042,4962,8004,3606,8478,12085
2000,05,Wisconsin,3385,7537,10922,3980,12364,16344
2000,05,Wyoming,862,1459,2321,906,1897,2802
2000,06,Alabama,7014,7480,14494,8024,13559,21583
2000,06,Alaska,1157,2166,3323,1184,2808,3992
2000,06,Arizona,5864,4822,10686,6694,6207,12901
2000,06,Arkansas,4001,6305,10306,4678,12223,16901
2000,06,California,25094,23471,48565,27074,26922,53996
2000,06,Colorado,10596,12847,23443,12278,17445,29724
2000,06,Connecticut,0,0,0,0,0,0
2000,06,Delaware,430,546,976,472,950,1422
2000,06,District of Columbia,0,0,0,1,0,1
2000,06,Florida,11425,8407,19832,12005,11776,23780
2000,06,Georgia,7041,6577,13618,8222,12182,20404
2000,06,Guam,12,12,24,13,15,28
2000,06,Hawaii,0,0,0,,,
2000,06,Idaho,1843,3088,4930,2025,4367,6392
2000,06,Illinois,4811,5240,10052,5915,8559,14474
2000,06,Indiana,1680,3359,5039,2147,5962,8109
2000,06,Iowa,36,1801,1837,44,3874,3918
2000,06,Kansas,2416,3463,5878,2967,6479,9446
2000,06,Kentucky,7388,8253,15641,8758,14067,22826
2000,06,Louisiana,5238,5600,10838,5784,10335,16119
2000,06,Maine,976,1719,2695,1252,3097,4350
2000,06,Mariana Islands,0,0,0,,,
2000,06,Maryland,165,2754,2919,197,4295,4491
2000,06,Massachusetts,1180,667,1847,1274,936,2210
2000,06,Michigan,90,9683,9774,102,16618,16720
2000,06,Minnesota,2702,6670,9372,3153,11758,14911
2000,06,Mississippi,4949,5375,10324,6033,10313,16346
2000,06,Missouri,3289,9023,12312,3938,15220,19158
2000,06,Montana,1808,4148,5956,1919,5132,7051
2000,06,Nebraska,29,1394,1422,38,2585,2623
2000,06,Nevada,2100,1997,4096,2429,2562,4991
2000,06,New Hampshire,1326,1604,2929,1558,2294,3853
2000,06,New Jersey,1606,1661,3267,1692,2215,3907
2000,06,New Mexico,2752,4016,6768,3062,5395,8457
2000,06,New York,787,5150,5937,857,9404,10261
2000,06,North Carolina,1646,9621,11266,1757,15544,17301
2000,06,North Dakota,378,1542,1921,471,2368,2840
2000,06,Ohio,7780,9929,17709,9667,15708,25375
2000,06,Oklahoma,4749,6960,11708,5750,11568,17318
2000,06,Oregon,4362,6153,10515,4655,7700,12356
2000,06,Pennsylvania,858,34222,35080,1092,45607,46699
2000,06,Puerto Rico,402,102,504,413,129,541
2000,06,Rhode Island,450,360,810,488,496,984
2000,06,South Carolina,4015,3779,7794,4800,6894,11694
2000,06,South Dakota,493,1637,2130,568,2761,3329
2000,06,Tennessee,7691,6401,14092,9353,11227,20580
2000,06,Texas,16998,23449,40447,19424,37845,57269
2000,06,United States,187694,292962,480656,215268,448485,663753
2000,06,Utah,1684,2725,4409,1981,4276,6257
2000,06,Vermont,483,763,1246,561,1356,1917
2000,06,Virgin Islands,0,0,0,,,
2000,06,Virginia,5771,6645,12416,7161,10681,17843
2000,06,Washington,2945,5793,8737,3267,7241,10508
2000,06,West Virginia,3240,5054,8294,3928,8905,12833
2000,06,Wisconsin,3059,7027,10086,4010,13144,17154
2000,06,Wyoming,889,1503,2391,945,1966,2911
2000,07,Alabama,6291,7635,13926,7686,13443,21129
2000,07,Alaska,1252,2422,3674,1238,2597,3836
2000,07,Arizona,5661,5093,10754,6185,6292,12477
2000,07,Arkansas,3487,6312,9799,4380,11202,15583
2000,07,California,24365,24970,49335,26650,28144,54794
2000,07,Colorado,9483,12397,21880,11428,17431,28859
2000,07,Connecticut,0,0,0,0,0,0
2000,07,Delaware,400,613,1013,454,986,1440
2000,07,District of Columbia,1,0,1,2,0,2
2000,07,Florida,10607,8285,18892,11839,11647,23486
2000,07,Georgia,6659,7283,13942,8017,12493,20510
2000,07,Guam,16,18,34,23,17,39
2000,07,Hawaii,0,0,0,,,
2000,07,Idaho,1785,3126,4912,2162,4426,6588
2000,07,Illinois,4706,5689,10395,5768,8428,14196
2000,07,Indiana,1574,3389,4963,2085,6019,8104
2000,07,Iowa,29,1858,1886,30,4026,4056
2000,07,Kansas,2148,3632,5780,2872,6460,9332
2000,07,Kentucky,6720,8284,15004,8314,13774,22088
2000,07,Louisiana,4918,6465,11383,5422,10445,15867
2000,07,Maine,959,2043,3002,1204,3134,4338
2000,07,Mariana Islands,0,0,0,,,
2000,07,Maryland,161,3053,3213,173,4677,4849
2000,07,Massachusetts,987,684,1671,1258,1028,2287
2000,07,Michigan,82,10627,10710,103,18214,18317
2000,07,Minnesota,2489,7330,9820,3067,11633,14701
2000,07,Mississippi,4650,5697,10347,5644,10100,15744
2000,07,Missouri,2744,9044,11789,3392,14963,18355
2000,07,Montana,1560,3645,5205,1733,5082,6814
2000,07,Nebraska,24,1605,1629,29,2729,2759
2000,07,Nevada,2131,1917,4048,2325,2410,4734
2000,07,New Hampshire,1235,1764,3000,1460,2417,3877
2000,07,New Jersey,1368,1514,2882,1568,2163,3731
2000,07,New Mexico,2389,3688,6078,2795,4971,7766
2000,07,New York,713,5541,6254,828,9645,10473
2000,07,North Carolina,1453,9965,11418,1643,15959,17602
2000,07,North Dakota,375,1531,1906,451,2392,2843
2000,07,Ohio,6919,9850,16770,9436,15167,24603
2000,07,Oklahoma,4232,6439,10671,5177,10474,15651
2000,07,Oregon,3625,5525,9150,4603,7815,12418
2000,07,Pennsylvania,663,34025,34689,958,44083,45041
2000,07,Puerto Rico,317,100,417,336,112,448
2000,07,Rhode Island,392,344,736,455,455,909
2000,07,South Carolina,3607,4202,7809,4503,6821,11324
2000,07,South Dakota,430,1891,2321,564,3002,3566
2000,07,Tennessee,9379,8824,18203,10797,14282,25079
2000,07,Texas,16214,24804,41018,18743,37815,56558
2000,07,United States,176866,304477,481342,204670,450060,654730
2000,07,Utah,1585,2828,4413,1912,4424,6336
2000,07,Vermont,475,868,1343,548,1376,1924
2000,07,Virgin Islands,0,0,0,,,
2000,07,Virginia,5927,7280,13207,6893,10877,17770
2000,07,Washington,2995,5680,8676,3403,7293,10695
2000,07,West Virginia,3065,5616,8680,3716,9238,12954
2000,07,Wisconsin,2831,7626,10458,3806,13789,17595
2000,07,Wyoming,787,1453,2240,927,1900,2827
2000,08,Alabama,7448,10897,18345,7869,13006,20874
2000,08,Alaska,1157,3152,4309,1099,2430,3529
2000,08,Arizona,5645,6661,12306,6121,6311,12433
2000,08,Arkansas,3972,9735,13707,4238,10418,14656
2000,08,California,26263,29619,55881,28515,27715,56231
2000,08,Colorado,11384,17481,28865,10748,17214,27962
2000,08,Connecticut,0,0,0,0,0,0
2000,08,Delaware,367,792,1159,410,948,1358
2000,08,District of Columbia,1,0,1,2,0,2
2000,08,Florida,11667,10284,21950,11714,11303,23017
2000,08,Georgia,6975,11003,17978,7430,11907,19336
2000,08,Guam,6,19,24,6,15,21
2000,08,Hawaii,0,0,0,,,
2000,08,Idaho,1865,4374,6238,1894,4259,6153
2000,08,Illinois,4958,8679,13637,5571,8687,14258
2000,08,Indiana,1953,5511,7464,2161,5950,8111
2000,08,Iowa,46,3137,3183,52,4097,4150
2000,08,Kansas,2282,5304,7587,2604,5704,8308
2000,08,Kentucky,7566,12719,20285,8152,12943,21095
2000,08,Louisiana,5180,10134,15314,5375,10050,15425
2000,08,Maine,1142,2932,4073,1119,3070,4189
2000,08,Mariana Islands,0,0,0,,,
2000,08,Maryland,182,3725,3906,176,4106,4281
2000,08,Massachusetts,1290,938,2229,1416,1127,2542
2000,08,Michigan,88,14264,14352,106,16465,16571
2000,08,Minnesota,2693,13164,15856,2862,11302,14164
2000,08,Mississippi,4962,9584,14546,5324,9458,14782
2000,08,Missouri,2918,12485,15403,3162,13393,16555
2000,08,Montana,1693,4535,6228,1650,4508,6158
2000,08,Nebraska,22,2285,2307,24,2624,2648
2000,08,Nevada,2047,2180,4227,2005,2289,4294
2000,08,New Hampshire,1392,2164,3555,1348,2295,3643
2000,08,New Jersey,1398,2002,3400,1539,2194,3734
2000,08,New Mexico,2718,4749,7467,2738,4894,7632
2000,08,New York,737,8054,8791,880,9511,10391
2000,08,North Carolina,1652,15608,17260,1579,15331,16910
2000,08,North Dakota,413,2622,3035,462,2480,2942
2000,08,Ohio,8381,15049,23430,9396,16035,25431
2000,08,Oklahoma,4388,8706,13094,4778,9177,13955
2000,08,Oregon,4221,7215,11436,4377,7645,12022
2000,08,Pennsylvania,838,38170,39008,896,42501,43397
2000,08,Puerto Rico,421,189,610,348,133,480
2000,08,Rhode Island,410,441,851,435,476,912
2000,08,South Carolina,4352,7635,11987,4496,6777,11273
2000,08,South Dakota,490,3029,3519,570,3021,3591
2000,08,Tennessee,8932,12771,21703,9230,12145,21375
2000,08,Texas,16572,41350,57922,17946,36484,54430
2000,08,United States,191802,428278,620080,197130,435774,632904
2000,08,Utah,1684,4005,5689,1799,4421,6220
2000,08,Vermont,486,1219,1705,513,1418,1930
2000,08,Virgin Islands,0,0,0,,,
2000,08,Virginia,5979,9541,15520,6366,10591,16957
2000,08,Washington,3099,7245,10343,3265,7109,10374
2000,08,West Virginia,3110,7031,10141,3344,8667,12011
2000,08,Wisconsin,3509,11905,15414,3851,13138,16989
2000,08,Wyoming,851,1986,2837,861,1850,2711
2000,09,Alabama,7480,14686,22166,8206,13949,22155
2000,09,Alaska,1093,2901,3994,1189,2481,3670
2000,09,Arizona,5674,7018,12692,5817,6301,12118
2000,09,Arkansas,3649,13207,16855,4087,11584,15672
2000,09,California,24770,27742,52512,27729,26686,54415
2000,09,Colorado,11461,21312,32773,11364,17637,29001
2000,09,Connecticut,0,0,0,0,0,0
2000,09,Delaware,350,1065,1415,398,983,1381
2000,09,District of Columbia,0,0,0,0,0,1
2000,09,Florida,10844,11553,22397,11766,11707,23472
2000,09,Georgia,7184,13881,21065,7746,12499,20245
2000,09,Guam,13,12,25,14,18,32
2000,09,Hawaii,0,0,0,,,
2000,09,Idaho,1901,6772,8672,1781,4646,6427
2000,09,Illinois,4806,9332,14138,5259,8761,14020
2000,09,Indiana,1803,6394,8197,2084,6216,8299
2000,09,Iowa,50,5139,5189,44,4471,4515
2000,09,Kansas,2402,6598,9000,2632,6141,8773
2000,09,Kentucky,7590,14969,22559,8172,14979,23151
2000,09,Louisiana,5481,14375,19856,5529,10930,16458
2000,09,Maine,1264,5210,6474,1080,3115,4194
2000,09,Mariana Islands,8,0,8,,,
2000,09,Maryland,158,5042,5201,153,4530,4683
2000,09,Massachusetts,1123,1184,2307,1296,1100,2396
2000,09,Michigan,85,25761,25846,99,18950,19049
2000,09,Minnesota,2770,23027,25797,2764,12563,15328
2000,09,Mississippi,4818,10824,15642,5458,10812,16270
2000,09,Missouri,2808,15066,17874,2998,14879,17877
2000,09,Montana,1793,7044,8837,1637,5325,6962
2000,09,Nebraska,30,3288,3318,29,2808,2837
2000,09,Nevada,2175,2669,4843,2281,2551,4832
2000,09,New Hampshire,1363,3233,4596,1287,2513,3800
2000,09,New Jersey,1274,2101,3375,1495,2182,3677
2000,09,New Mexico,2648,5499,8147,2815,5184,7998
2000,09,New York,866,12799,13664,911,9396,10308
2000,09,North Carolina,1658,17339,18997,1667,17245,18912
2000,09,North Dakota,432,4045,4477,430,2388,2818
2000,09,Ohio,8661,18429,27091,9093,17065,26157
2000,09,Oklahoma,4393,10305,14698,4963,10272,15235
2000,09,Oregon,4685,12296,16981,4392,8650,13042
2000,09,Pennsylvania,698,45750,46449,876,44071,44947
2000,09,Puerto Rico,393,147,540,358,108,465
2000,09,Rhode Island,421,491,912,451,455,906
2000,09,South Carolina,3898,8086,11984,4255,6767,11022
2000,09,South Dakota,554,4645,5200,557,3296,3853
2000,09,Tennessee,8295,13035,21330,9192,13117,22309
2000,09,Texas,16728,48604,65331,18407,36731,55138
2000,09,United States,190232,546781,737013,199438,478847,678285
2000,09,Utah,1603,6186,7789,1682,5067,6749
2000,09,Vermont,525,1949,2474,497,1383,1880
2000,09,Virgin Islands,0,0,0,,,
2000,09,Virginia,6290,11919,18208,6701,11292,17993
2000,09,Washington,3226,9891,13118,3377,7919,11296
2000,09,West Virginia,3457,10029,13486,3704,9116,12819
2000,09,Wisconsin,3706,20779,24485,3647,15140,18786
2000,09,Wyoming,876,3155,4030,864,2403,3267
2000,10,Alabama,7126,14792,21918,7382,12890,20272
2000,10,Alaska,1891,3955,5845,1318,2512,3830
2000,10,Arizona,5350,7236,12586,5834,6310,12144
2000,10,Arkansas,3739,14971,18710,3882,10271,14153
2000,10,California,29053,28212,57265,30097,27503,57600
2000,10,Colorado,10769,23364,34133,10702,16981,27683
2000,10,Connecticut,0,0,0,0,0,0
2000,10,Delaware,458,1329,1786,410,960,1369
2000,10,District of Columbia,0,0,0,0,0,0
